,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
20,はじめての AI,https://www.udemy.com/course/google-jp-ai/,"53,369","12,028",1,null,Japanese,1,1,0,0,6,13,54m total,Grow with Google (グーグル合同会社),"85,793",13,4.2,null,null,null,null,1,0,0,4.3
21,Data Science: Visualização de Dados com Python,https://www.udemy.com/course/visualizacao-de-dados-com-python/,"232,981","5,664",1,null,Portuguese,1,1,0,0,1,24,1h 3m,"Diego Mariano, Ph.D.","704,672",36,4.6,null,null,null,null,1,0,0,4.6
22,Deep learning Preparation Course in Arabic Part 1 : Python,https://www.udemy.com/course/machine-learning-and-deep-learning-for-arabs/,"30,826","2,860",1,null,Arabic,1,0,0,0,3,66,9h 45m,Hazem ABDELKAWY,"30,826",1,4.8,null,null,null,null,0,0,0,4.8
23,Veri Bilimi ve Yapay Zekaya Giriş,https://www.udemy.com/course/veri-bilimi-ve-yapay-zekaya-giris/,"41,780","2,830",2,null,Turkish,1,0,0,0,1,15,1h 18m,Vahit Keskin,"119,278",7,4.7,Veri Bilimi Okulu,"140,626",9,4.7,0,0,0,4.7
24,أساسيات علم البيانات | Data Science Foundations,https://www.udemy.com/course/data-science-foundations/,"8,995",703,1,null,Arabic,1,0,0,0,1,11,1h 45m,Eng. Mustafa Othman,"36,010",10,4.6,null,null,null,null,0,0,0,4.8
25,Introducción Gratuita a Python Data Science,https://www.udemy.com/course/introduccion-gratuita-python-data-science/,"20,938",647,1,null,Spanish,1,1,0,0,5,13,1h 6m,Rafael Gonzalez Gouveia,"42,318",2,4.5,null,null,null,null,0,0,0,4.5
26,Machine Learning e Data Science: O Guia para Iniciantes,https://www.udemy.com/course/guia-iniciantes-machine-learning-data-science/,"7,548",529,2,null,Portuguese,1,1,0,0,6,28,1h 53m,Jones Granatyr,"166,451",91,4.7,IA Expert Academy,"159,062",90,4.7,0,0,0,4.6
27,¿Cómo convertirte en Científico de Datos?,https://www.udemy.com/course/como-convertirte-en-cientifico-de-datos/,"12,000",514,1,null,Spanish,1,1,0,0,5,12,1h 15m,Elisa Cabana Garceran del Vall,"37,359",13,4.7,null,null,null,null,0,0,0,4.7
28,Introducción al Data Science,https://www.udemy.com/course/introduccion-al-data-science/,"14,989",449,1,null,Spanish,1,1,0,0,4,16,1h 18m,Pedro Daniel Alcalá Rojas,"68,704",33,4.3,null,null,null,null,0,0,0,4.1
29,بايثون لغير المبرمجين | Python for Non-Programmers (Basics),https://www.udemy.com/course/python-for-non-programmers/,"7,473",400,1,null,Arabic,1,0,0,0,1,11,1h 30m,Eng. Mustafa Othman,"36,010",10,4.6,null,null,null,null,0,0,0,4.9
30,みんなのためのAI・機械学習入門,https://www.udemy.com/course/datamix_ml_intro/,"1,079",377,1,null,Japanese,1,1,0,0,1,7,29m total,株式会社 データミックス,"4,212",3,4.3,null,null,null,null,0,0,0,4.1
31,Introduction to Data Science | مقدمة في علم البيانات,https://www.udemy.com/course/intro2datascience/,"3,471",264,1,null,Arabic,1,0,0,0,2,19,1h 27m,Fahad Masood Reda,"21,595",7,4.5,null,null,null,null,1,0,0,4.6
32,Kaggle: Veri Bilimi ve Makine Öğrenimi Topluluğu - 2021,https://www.udemy.com/course/kaggle-veri-bilimi-ve-makine-ogrenimi-toplulugu-2021/,"7,065",191,1,null,Turkish,1,0,0,0,2,16,1h 59m,DATAI TEAM,"108,137",20,4.5,null,null,null,null,0,0,0,4.9
33,Introduction to Artificial Intelligence (Indonesian Version),https://www.udemy.com/course/introduction-to-artificial-intelligence-w/,"12,121",181,4,null,Indonesian,1,0,0,0,5,11,2h 4m,Bina Nusantara University,"212,471",312,4.4,Greater Nusantara,"79,460",9,4,1,0,0,4.8
34,Python Scrapy ile Web Scraping: 5 dakikada Amazonu kazıyın,https://www.udemy.com/course/python-scrapy-ile-web-scraping-web-kazima-basics/,"7,038",162,1,null,Turkish,1,0,0,0,4,18,1h 59m,Tarkan A Guner,"27,008",5,4,null,null,null,null,0,0,0,4.5
35,Belajar & Praktik Data Science untuk Pemula,https://www.udemy.com/course/belajar-praktik-data-science-untuk-pemula/,"2,341",151,2,null,Indonesian,1,0,0,0,4,11,1h 24m,Bina Nusantara University,"212,471",312,4.4,Ro'fah Nur Rachmawati,"2,341",1,4.7,1,0,0,4.7
36,ゼロから始めるニューラルネットワーク,https://www.udemy.com/course/ml-tutorial/,"11,945",129,1,null,Japanese,1,1,0,0,3,10,1h 6m,tonimaru x,"31,591",10,3.8,null,null,null,null,0,0,0,4.6
37,Revisão de Literatura via Inteligência Artificial,https://www.udemy.com/course/revisao-de-literatura-via-inteligencia-artificial/,"1,953",123,1,null,Portuguese,1,1,0,0,4,17,1h 11m,Márcio Souza,"3,565",3,4.5,null,null,null,null,0,0,0,4.8
